deals.id,deals.cat_id,deals.fee_curr_id,deals.name,deals.name2,deals.show_text,deals.wants,deals.used,deals.is_shop,deals.not_gifted,deals.url,deals.my_client,deals.icon,deals.img,deals.template_,deals.calcs_,deals.min_pay,deals.max_pay,deals.fee,deals.tax,deals.fee_min,deals.fee_max,deals.average_,deals.count_
500,1,2,РФ Онлайн,RF Onlayn,<NULL>,91,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u043b\u0438\u0446\u0435\u0432\u043e\u0433\u043e \u0441\u0447\u0435\u0442\u0430:"", ""n"": ""acc1""}, {""l"": ""\u0417\u0430\u043f\u043b\u0430\u0442\u0438\u0442\u044c""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
501,2,2,World of Warcraft - тайм-карта 60 дней,World of Warcraft - taym-karta 60 dnyay,<NULL>,283,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u0432 \u043f\u0440\u043e\u0434\u0430\u0436\u0435:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
502,2,2,World of Warcraft - активационный ключ на 14 дней ,World of Warcraft - aktivacionnyy klyuch na 14 dny,<NULL>,288,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u0432 \u043f\u0440\u043e\u0434\u0430\u0436\u0435:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
503,2,2,World of Warcraft - активационный ключ на 30 дней ,World of Warcraft - aktivacionnyy klyuch na 30 dny,<NULL>,279,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u0432 \u043f\u0440\u043e\u0434\u0430\u0436\u0435:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
504,2,2,"World of Warcraft - аддон The Burning Crusade, рус","World of Warcraft - addon The Burning Crusade, rus",<NULL>,275,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u0432 \u043f\u0440\u043e\u0434\u0430\u0436\u0435:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
505,2,2,"World of Warcraft - тайм-карта на 60 дней игры, ру","World of Warcraft - taym-karta na 60 dnyay igry, r",<NULL>,267,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u0432 \u043f\u0440\u043e\u0434\u0430\u0436\u0435:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
506,3,2,МТС,MTS,,254,False,False,False,,False,,,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u0442\u0435\u043b\u0435\u0444\u043e\u043d\u0430:""}, {""l"": "" (381)"", ""n"": ""acc1""}, {""l"": "" (1234567) используйте меню На Сотовый вместо этой витрины"", ""n"": ""acc2""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
507,1,2,LineAgeII,LineAgeII,<NULL>,225,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u0432 \u043f\u0440\u043e\u0434\u0430\u0436\u0435:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
508,1,2,Goodline.ru,Goodline.ru,<NULL>,243,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u043b\u0438\u0446\u0435\u0432\u043e\u0433\u043e \u0441\u0447\u0435\u0442\u0430: (\u041d\u043e\u043c\u0435\u0440 \u0441\u0447\u0435\u0442\u0430 (11 \u0446\u0438\u0444\u0440) \u0432 \u0444\u043e\u0440\u043c\u0430\u0442\u0435 372********)"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
509,3,2,Ростелеком - Центр. Рязань,Rostelekom - Centr. Ryazan,<NULL>,273,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u0442\u0435\u043b\u0435\u0444\u043e\u043d\u0430 \u0438\u043b\u0438 \u043b/\u0441: (10 \u0446\u0438\u0444\u0440)"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
510,3,2,Ростелеком-ЦТ-Рязань,Rostelekom-CT-Ryazan,<NULL>,273,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u043b\u0438\u0446\u0435\u0432\u043e\u0433\u043e \u0441\u0447\u0435\u0442\u0430:"", ""n"": ""acc1""}, {""l"": ""\u0422\u0438\u043f \u043f\u043b\u0430\u0442\u0435\u0436\u0430:"", ""n"": ""acc2""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
511,1,2,МТТ-ЦТ-Рязань,MTT-CT-Ryazan,<NULL>,92,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u043b\u0438\u0446\u0435\u0432\u043e\u0433\u043e \u0441\u0447\u0435\u0442\u0430:"", ""n"": ""acc1""}, {""l"": ""\u0422\u0438\u043f \u043f\u043b\u0430\u0442\u0435\u0436\u0430:"", ""n"": ""acc2""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
